timestamp,market,slug,outcome,outcome_index,amount,price,won,pnl,winning_outcome,winning_index,condition_id,token_id
2026-02-24T03:26:17.960724+00:00,"Bitcoin Up or Down - February 23, 10:15PM-10:30PM ",btc-updown-15m-1771902900,Up,0,2.0,0.63,NO,-2.0,,,0x8aae11a539d74b1b3323b610e7985cfe96eb26f90ea7fde2ef80b2fca0af3020,39816836569197543372303901294959538054860885032444150443880899703894724515929
2026-02-24T03:26:38.170737+00:00,"Solana Up or Down - February 23, 10:15PM-10:30PM E",sol-updown-15m-1771902900,Down,1,2.0,0.5786880363862793,NO,-2.0,,,0x1d044a7b17eb5003846bf8f2fbb578bd0c9ada78de694bf48eba8f74c35ad94b,93607987383723658372995639375109596203312491439941620404852405345297199842070
2026-02-24T03:26:38.176337+00:00,"Solana Up or Down - February 23, 10:15PM-10:30PM E",sol-updown-15m-1771902900,Down,1,2.0,0.54,NO,-2.0,,,0x1d044a7b17eb5003846bf8f2fbb578bd0c9ada78de694bf48eba8f74c35ad94b,93607987383723658372995639375109596203312491439941620404852405345297199842070
2026-02-24T03:26:38.182394+00:00,"Bitcoin Up or Down - February 23, 10:25PM-10:30PM ",btc-updown-5m-1771903500,Down,1,2.0,0.61,NO,-2.0,,,0x378b7e01a8782eee997a5489148ae022eed1d597eebcd2a8bd5b50d15acf8548,113312659337879699110009965173164239202143855905483148873866984395462991996069
2026-02-24T03:26:48.325920+00:00,"Bitcoin Up or Down - February 23, 10:25PM-10:30PM ",btc-updown-5m-1771903500,Down,1,2.0,0.6386743024247593,NO,-2.0,,,0x378b7e01a8782eee997a5489148ae022eed1d597eebcd2a8bd5b50d15acf8548,113312659337879699110009965173164239202143855905483148873866984395462991996069
2026-02-24T03:26:48.328671+00:00,"Ethereum Up or Down - February 23, 10:25PM-10:30PM",eth-updown-5m-1771903500,Up,0,2.0,0.37999999999999995,NO,-2.0,,,0x64787d51835565aaddf9314feb839e6719b01d08f3d4a62c502d154f9251b4e7,22810143987974608794873445518386782894270600934678150150832559164574592406159
2026-02-24T03:26:48.331472+00:00,"Bitcoin Up or Down - February 23, 10:25PM-10:30PM ",btc-updown-5m-1771903500,Down,1,2.0,0.63,NO,-2.0,,,0x378b7e01a8782eee997a5489148ae022eed1d597eebcd2a8bd5b50d15acf8548,113312659337879699110009965173164239202143855905483148873866984395462991996069
2026-02-24T03:26:48.337124+00:00,"Ethereum Up or Down - February 23, 10:25PM-10:30PM",eth-updown-5m-1771903500,Up,0,2.0,0.3545879100229093,NO,-2.0,,,0x64787d51835565aaddf9314feb839e6719b01d08f3d4a62c502d154f9251b4e7,22810143987974608794873445518386782894270600934678150150832559164574592406159
2026-02-24T03:26:48.339657+00:00,"Ethereum Up or Down - February 23, 10:15PM-10:30PM",eth-updown-15m-1771902900,Down,1,2.0,0.431437040646445,NO,-2.0,,,0x1988833c3a30cd4d2fe03b915a569ce26cef77428382871d4f2c63f933ba6ded,32263239738022089338224961993053632851638507305945992535041401896188895488700
2026-02-24T03:26:58.476979+00:00,"Bitcoin Up or Down - February 23, 10:25PM-10:30PM ",btc-updown-5m-1771903500,Down,1,2.0,0.5800000015184382,NO,-2.0,,,0x378b7e01a8782eee997a5489148ae022eed1d597eebcd2a8bd5b50d15acf8548,113312659337879699110009965173164239202143855905483148873866984395462991996069
2026-02-24T03:26:58.479695+00:00,"Ethereum Up or Down - February 23, 10:25PM-10:30PM",eth-updown-5m-1771903500,Up,0,2.0,0.4160862064193521,NO,-2.0,,,0x64787d51835565aaddf9314feb839e6719b01d08f3d4a62c502d154f9251b4e7,22810143987974608794873445518386782894270600934678150150832559164574592406159
