ts,close,next_close,close_position,body_signed,volume_z,range_z,streak,p_up,side,regime,confidence,stake,actual,result,pnl,equity
1774421100,70974.49,71118.0,0.067958,-0.78648,-1.0346,0.836,-2,0.55,UP,bearish_fade,0.55,1.0,UP,WIN,1.0,292.0
1774422000,71118.0,71050.05,0.970832,0.772307,-1.029,-0.1521,1,0.5,SKIP,bullish,0.5,0.0,DOWN,,0.0,292.0
1774422900,71050.05,71045.04,0.205534,-0.676321,-1.3698,-1.3889,-1,0.55,UP,bearish_fade,0.55,1.0,DOWN,LOSS,-1.0,291.0
1774423800,71045.04,70910.68,0.073124,-0.022656,1.0739,0.3703,-2,0.5,SKIP,neutral,0.5,0.0,DOWN,,0.0,291.0
1774424700,70910.68,70788.81,0.218071,-0.672944,0.1736,0.0975,-3,0.55,UP,bearish_fade,0.55,1.0,DOWN,LOSS,-1.0,290.0
1774425600,70788.81,71165.45,0.070897,-0.559601,-0.2185,0.3949,-4,0.55,UP,bearish_fade,0.55,1.0,UP,WIN,1.0,291.0
1774426500,71165.45,71459.52,0.852377,0.852377,1.0481,3.5327,1,0.5,SKIP,bullish,0.5,0.0,UP,,0.0,291.0
1774427400,71459.52,71224.5,0.886491,0.869258,3.6837,1.4865,2,0.5,SKIP,bullish,0.5,0.0,DOWN,,0.0,291.0
1774428300,71224.5,71314.71,0.089529,-0.910471,-0.3179,0.5238,-1,0.55,UP,bearish_fade,0.55,1.0,UP,WIN,1.0,292.0
1774429200,71314.71,71248.11,0.707218,0.555104,-0.5226,-0.6221,1,0.5,SKIP,bullish,0.5,0.0,DOWN,,0.0,292.0
1774430100,71248.11,71243.99,0.420369,-0.285359,-0.3114,0.202,-1,0.55,UP,bearish_fade,0.55,1.0,DOWN,LOSS,-1.0,291.0
1774431000,71243.99,71332.41,0.333652,-0.039343,0.0519,-1.251,-2,0.5,SKIP,neutral,0.5,0.0,UP,,0.0,291.0
1774431900,71332.41,71409.9,0.780689,0.269401,-0.3558,1.2344,1,0.5,SKIP,bullish,0.5,0.0,UP,,0.0,291.0
1774432800,71409.9,71394.02,0.810037,0.469096,-0.1194,-0.5601,2,0.5,SKIP,bullish,0.5,0.0,DOWN,,0.0,291.0
1774433700,71394.02,71424.01,0.305869,-0.132565,0.1749,-1.0224,-1,0.55,UP,bearish_fade,0.55,1.0,UP,WIN,1.0,292.0
1774434600,71424.01,71486.2,0.969118,0.232121,0.6065,-0.8601,1,0.5,SKIP,bullish,0.5,0.0,UP,,0.0,292.0
1774435500,71486.2,71592.53,0.318791,0.296524,4.8807,0.0827,2,0.5,SKIP,bullish,0.5,0.0,UP,,0.0,292.0
1774436400,71592.53,71870.45,0.931315,0.726695,-0.0205,-0.6741,3,0.5,SKIP,bullish,0.5,0.0,UP,,0.0,292.0
1774437300,71870.45,71817.8,0.781003,0.781003,7.8865,1.7513,4,0.5,SKIP,bullish,0.5,0.0,DOWN,,0.0,292.0
1774438200,71817.8,71673.97,0.137972,-0.21359,6.7904,0.3629,-1,0.55,UP,bearish_fade,0.55,1.0,DOWN,LOSS,-1.0,291.0
1774439100,71673.97,71746.49,0.504517,-0.475959,0.4628,0.9228,-2,0.5,SKIP,bullish,0.5,0.0,UP,,0.0,291.0
1774440000,71746.49,71329.87,0.430343,0.430284,0.1568,-0.6097,1,0.5,SKIP,bullish,0.5,0.0,DOWN,,0.0,291.0
1774440900,71329.87,71346.34,0.343708,-0.651274,0.9237,4.6198,-1,0.55,UP,bearish_fade,0.55,1.0,UP,WIN,1.0,292.0
