ts,close,next_close,close_position,body_signed,volume_z,range_z,streak,p_up,side,confidence,stake,actual,result,pnl,equity
1775076300,68179.49,68239.08,0.819341,0.248551,-1.3771,-1.4548,3,0.648934,UP,0.648934,0.0,UP,,0.0,207.0
1775076600,68239.08,68185.48,0.761534,0.761534,-1.1571,-0.9665,4,0.715904,UP,0.715904,1.0,DOWN,LOSS,-1.0,206.0
1775076900,68185.48,68241.18,0.287252,-0.655738,-0.5297,-0.8257,-1,0.246481,DOWN,0.753519,1.0,UP,LOSS,-1.0,205.0
1775077200,68241.18,68338.48,0.720107,0.480877,-0.6362,-0.0504,1,0.718522,UP,0.718522,1.0,UP,WIN,1.0,206.0
1775077500,68338.48,68284.77,0.772727,0.740825,0.0252,0.2435,2,0.825439,UP,0.825439,3.0,DOWN,LOSS,-3.0,203.0
1775077800,68284.77,68350.56,0.53136,-0.385875,-0.1504,0.4441,-1,0.442671,DOWN,0.557329,0.0,UP,,0.0,203.0
1775078100,68350.56,68417.99,0.982473,0.795238,-0.2537,-0.9943,1,0.897482,UP,0.897482,3.0,UP,WIN,3.0,206.0
1775078400,68417.99,68429.94,1.0,0.751644,-0.0028,-0.6974,2,0.907144,UP,0.907144,5.0,UP,WIN,5.0,211.0
1775078700,68429.94,68496.78,0.188839,0.101971,-0.8621,0.1269,3,0.296402,DOWN,0.703598,1.0,UP,LOSS,-1.0,210.0
1775079000,68496.78,68394.44,0.859272,0.646922,-0.9806,-0.2323,4,0.758019,UP,0.758019,1.0,DOWN,LOSS,-1.0,209.0
1775079300,68394.44,68337.34,0.243628,-0.672228,-0.8386,1.5244,-1,0.247649,DOWN,0.752351,1.0,DOWN,WIN,1.0,210.0
1775079600,68337.34,68319.01,0.300588,-0.699412,-0.9773,-0.9521,-2,0.292448,DOWN,0.707552,1.0,DOWN,WIN,1.0,211.0
1775079900,68319.01,68321.53,0.321037,-0.409792,-1.0603,-2.3905,-3,0.369439,DOWN,0.630561,0.0,UP,,0.0,211.0
1775080200,68321.53,68356.33,0.749869,0.026396,-1.8804,-0.2468,1,0.579264,UP,0.579264,0.0,UP,,0.0,211.0
1775080500,68356.33,68266.56,0.251954,0.251882,-0.7348,1.2519,2,0.364017,DOWN,0.635983,0.0,DOWN,,0.0,211.0
1775080800,68266.56,68209.73,0.282586,-0.717414,-0.2944,0.6921,-1,0.216819,DOWN,0.783181,1.0,DOWN,WIN,1.0,212.0
1775081100,68209.73,68213.36,0.540239,-0.419595,1.2115,1.1815,-2,0.426055,DOWN,0.573945,0.0,UP,,0.0,212.0
1775081400,68213.36,68081.56,0.526895,0.048692,0.0787,-1.0581,1,0.515562,UP,0.515562,0.0,DOWN,,0.0,212.0
1775081700,68081.56,68253.0,0.105713,-0.894287,-0.0506,1.5799,-1,0.108526,DOWN,0.891474,3.0,UP,LOSS,-3.0,209.0
1775082000,68253.0,68182.25,0.915572,0.915519,-0.4406,2.7592,1,0.822395,UP,0.822395,3.0,DOWN,LOSS,-3.0,206.0
1775082300,68182.25,68246.98,0.295822,-0.702094,-1.2852,-0.239,-1,0.301239,DOWN,0.698761,0.0,UP,,0.0,206.0
1775082600,68246.98,68196.5,0.943925,0.512672,-0.7151,0.4589,1,0.819632,UP,0.819632,3.0,DOWN,LOSS,-3.0,203.0
1775082900,68196.5,68235.76,0.531899,-0.468101,-1.4207,-0.1754,-1,0.457313,DOWN,0.542687,0.0,UP,,0.0,203.0
1775083200,68235.76,68168.32,0.51241,0.297989,0.9314,0.5379,1,0.594174,UP,0.594174,0.0,DOWN,,0.0,203.0
1775083500,68168.32,68125.13,0.174107,-0.627232,-1.5238,-0.255,-1,0.283679,DOWN,0.716321,1.0,DOWN,WIN,1.0,204.0
1775083800,68125.13,68116.98,0.542914,-0.453724,-1.2279,-0.6094,-2,0.476538,DOWN,0.523462,0.0,DOWN,,0.0,204.0
1775084100,68116.98,68223.39,0.333606,-0.166496,-2.69,-2.023,-3,0.467141,DOWN,0.532859,0.0,UP,,0.0,204.0
1775084400,68223.39,68215.85,0.964733,0.964733,-0.776,-0.0067,1,0.872597,UP,0.872597,3.0,DOWN,LOSS,-3.0,201.0
1775084700,68215.85,68188.16,0.569235,-0.096493,-0.0884,-1.0034,-1,0.548096,UP,0.548096,0.0,DOWN,,0.0,201.0
1775085000,68188.16,68117.57,0.41412,-0.452525,1.0416,-1.4218,-2,0.29981,DOWN,0.70019,1.0,DOWN,WIN,1.0,202.0
1775085300,68117.57,68082.83,0.181924,-0.817961,-1.511,-0.5947,-3,0.282848,DOWN,0.717152,1.0,DOWN,WIN,1.0,203.0
1775085600,68082.83,68112.48,0.000152,-0.528526,-1.0129,-1.1191,-4,0.204906,DOWN,0.795094,1.0,UP,LOSS,-1.0,202.0
1775085900,68112.48,68122.0,0.672425,0.492525,1.431,-1.2321,1,0.808994,UP,0.808994,3.0,UP,WIN,3.0,205.0
1775086200,68122.0,68133.5,1.0,0.066139,1.5706,1.1725,2,0.904611,UP,0.904611,5.0,UP,WIN,5.0,210.0
1775086500,68133.5,68100.59,0.305765,0.201507,-1.7073,-1.4183,3,0.400703,DOWN,0.599297,0.0,DOWN,,0.0,210.0
1775086800,68100.59,68164.81,0.117298,-0.475991,-0.6519,-0.9352,-1,0.205148,DOWN,0.794852,1.0,UP,LOSS,-1.0,209.0
1775087100,68164.81,68137.82,0.975627,0.581861,-1.433,0.2948,1,0.773762,UP,0.773762,1.0,DOWN,LOSS,-1.0,208.0
1775087400,68137.82,68112.35,0.709717,-0.235844,-0.7182,0.4531,-1,0.601264,UP,0.601264,0.0,DOWN,,0.0,208.0
1775087700,68112.35,68119.12,0.684348,-0.315652,-1.2057,-0.567,-2,0.576378,UP,0.576378,0.0,UP,,0.0,208.0
1775088000,68119.12,68146.88,0.632333,0.058747,-0.0583,0.5411,1,0.598659,UP,0.598659,0.0,UP,,0.0,208.0
1775088300,68146.88,68205.01,0.738462,0.314027,0.6454,-0.1927,2,0.761254,UP,0.761254,1.0,UP,WIN,1.0,209.0
1775088600,68205.01,68198.02,0.724723,0.724723,0.0813,-0.4764,3,0.795729,UP,0.795729,1.0,DOWN,LOSS,-1.0,208.0
1775088900,68198.02,68233.94,0.590511,-0.061187,-0.2101,0.9187,-1,0.571962,UP,0.571962,0.0,UP,,0.0,208.0
1775089200,68233.94,68206.02,0.618122,0.453306,0.0729,-0.4513,1,0.692923,UP,0.692923,0.0,DOWN,,0.0,208.0
1775089500,68206.02,68294.95,0.142782,-0.365397,0.942,-0.4905,-1,0.134131,DOWN,0.865869,3.0,UP,LOSS,-3.0,205.0
1775089800,68294.95,68375.7,0.995892,0.869816,-0.5666,0.6444,1,0.887645,UP,0.887645,3.0,UP,WIN,3.0,208.0
1775090100,68375.7,68523.8,1.0,0.565912,4.4438,2.298,2,0.953464,UP,0.953464,5.0,UP,WIN,5.0,213.0
1775090400,68523.8,68480.01,1.0,0.793294,2.178,3.738,3,0.945775,UP,0.945775,5.0,DOWN,LOSS,-5.0,208.0
1775090700,68480.01,68595.12,0.375453,-0.273517,0.2813,1.9777,-1,0.376145,DOWN,0.623855,0.0,UP,,0.0,208.0
1775091000,68595.12,68595.68,0.889658,0.608597,1.577,2.5408,1,0.90911,UP,0.90911,5.0,UP,WIN,5.0,213.0
1775091300,68595.68,68101.15,0.419322,0.005774,-0.6434,-0.2341,2,0.412666,DOWN,0.587334,0.0,DOWN,,0.0,213.0
1775091600,68101.15,68157.91,0.076817,-0.923165,2.6164,11.0509,-1,0.437872,DOWN,0.562128,0.0,UP,,0.0,213.0
