entry_ts,entry_close,side,confidence,stake,market_slug,token_id,fill_price,edge,kelly_f,shares,close_position,body_signed,direction,volume_z,range_z,streak,resolve_ts,resolve_close,settled_token_price,result,pnl,resolution_source
1776479100,77372.02,UP,0.5,5.6818,btc-updown-5m-1776479400,56373092568745923793203638214043973950895555224219063618398737330485021163950,0.45,0.05,0.090909,12.626263,0.93374,-0.06626,-1,-0.1469,0.095,-1,1776479995,,0.0,LOSS,-5.6818,polymarket
1776479400,77352.01,UP,0.55,5.102,btc-updown-5m-1776479700,28411479009347804923077178934356794696323707839590462094039384429144471896791,0.51,0.04,0.081633,10.004002,0.002183,-0.997817,-1,-0.7998,-1.1414,-2,1776480316,,1.0,WIN,4.902,polymarket
1776479700,77292.01,UP,0.55,7.3529,btc-updown-5m-1776480000,105454940951523411953253083416391042498205502066941311814553729189480901419223,0.49,0.06,0.117647,15.006002,0.10005,-0.89995,-1,-0.4371,-0.1673,-3,1776480597,,0.0,LOSS,-7.3529,polymarket
1776480300,77348.33,UP,0.55,5.102,btc-updown-5m-1776480600,58540629948611237266847581710907439117529988972522199329009295835638964004187,0.51,0.04,0.081633,10.004002,0.097429,-0.902571,-1,0.4881,-0.9055,-1,1776481178,,0.0,LOSS,-5.102,polymarket
1776480600,77325.01,UP,0.55,5.102,btc-updown-5m-1776480900,81552787647782803868162128140403888427385156611524016810701252952305766180567,0.51,0.04,0.081633,10.004002,0.000865,-0.999135,-1,-0.4435,-0.6351,-2,1776481518,,1.0,WIN,4.902,polymarket
1776481200,77313.57,UP,0.55,5.102,btc-updown-5m-1776481500,109650469381120710716488684060649643249728436614014815728272968707136980501022,0.51,0.04,0.081633,10.004002,0.0,-1.0,-1,-0.198,-0.5825,-1,1776482119,,1.0,WIN,4.902,polymarket
1776481500,77295.98,UP,0.55,6.25,btc-updown-5m-1776481800,11418799554183900290493325001253165430395182582459230051024176009585162343792,0.5,0.05,0.1,12.5,0.0,-1.0,-1,-0.6069,0.131,-2,1776482220,,0.0,LOSS,-6.25,polymarket
1776481800,77319.04,UP,0.55,3.9063,btc-updown-5m-1776482100,47134196268804643782461227969673419577845731892514796410564755750374209036424,0.52,0.03,0.0625,7.512019,0.0,-1.0,-1,-0.8246,-0.9773,-3,1776482721,,0.0,LOSS,-3.9063,polymarket
1776482100,77276.26,UP,0.55,6.25,btc-updown-5m-1776482400,41458799528320912155731727958552774571574095987832865590585745458660137579063,0.5,0.05,0.1,12.5,0.000888,-0.999112,-1,-0.5916,-0.5261,-4,1776483062,,0.0,LOSS,-6.25,polymarket
1776482400,77276.26,UP,0.5,11.2705,btc-updown-5m-1776482700,2318647034022657498807578618548334529030234451429759139112364004741459614325,0.39,0.11,0.180328,28.898697,1.0,1.0,1,-0.7483,-1.1388,1,1776483363,,0.0,LOSS,-11.2705,polymarket
1776483300,77208.74,DOWN,0.5,9.5339,btc-updown-5m-1776483600,48087804640868165270661432608396205669082919151693987930310882651060814708651,0.41,0.09,0.152542,23.253411,0.999246,0.998493,1,0.108,-0.2114,1,1776484184,,0.0,LOSS,-9.5339,polymarket
1776483900,77201.57,DOWN,0.5,3.5377,btc-updown-5m-1776484200,19473333933040974230245708959923302316767142472477616164931000956848542829080,0.47,0.03,0.056604,7.527098,0.895819,0.221173,1,1.1713,1.1747,3,1776484605,,1.0,WIN,3.9894,polymarket
1776484200,77242.01,DOWN,0.5,6.6964,btc-updown-5m-1776484500,60863083821781271292166762286269424195948710774625650939882686641189092439039,0.44,0.06,0.107143,15.219156,0.751642,0.751642,1,2.0075,1.2774,4,1776485186,,1.0,WIN,8.5227,polymarket
1776484800,77029.73,DOWN,0.5,3.5377,btc-updown-5m-1776485100,13500569881962042808265209279697039358154600307489484758299131818178075650335,0.47,0.03,0.056604,7.527098,0.622558,-0.325814,-1,0.5395,1.5607,-1,1776485667,,0.0,LOSS,-3.5377,polymarket
